Iter,Phi,Psi,Type
1,-63.438766,-48.31134,Acquired
1,-80.4471,-157.89693,Acquired
1,-55.664948,172.7969,Acquired
1,-155.23647,11.472702,Acquired
1,67.06766,10.292084,Acquired
1,-77.53629,170.20886,Acquired
1,-71.13571,179.58282,Acquired
1,-116.30266,-133.54866,Acquired
1,-163.53835,-178.27905,Acquired
1,69.30441,157.65799,Acquired
1,-150.91028,178.38617,Acquired
1,-71.979515,-6.213455,Acquired
1,-167.23984,-7.954956,Acquired
1,-171.32977,177.86688,Acquired
1,65.29724,179.44958,Acquired
1,-49.550583,139.8211,Acquired
1,-139.6211,153.61179,Acquired
1,-82.21294,68.69644,Acquired
1,-79.93427,125.71155,Acquired
1,-52.23104,123.46854,Acquired
1,-70.99874,175.01242,Acquired
1,-73.53443,-34.77121,Acquired
1,-107.86188,32.818634,Acquired
1,-164.67932,-175.33594,Acquired
1,-148.6999,-7.1437073,Acquired
1,-74.37371,-45.61772,Acquired
1,59.691803,14.387497,Acquired
1,-132.50143,-15.047516,Acquired
1,-155.29787,173.42621,Acquired
1,-153.19923,162.13818,Acquired
1,-59.877174,114.16513,Acquired
1,-134.19537,-40.161407,Acquired
1,-148.43517,172.60913,Acquired
1,-68.7893,148.33447,Acquired
1,63.334717,169.13733,Acquired
1,-143.25471,166.4642,Acquired
1,-136.02702,28.909714,Acquired
1,-160.85037,1.6069641,Acquired
1,-63.62905,-28.012802,Acquired
1,-146.56627,146.65485,Acquired
1,-74.919426,-37.87094,Acquired
1,-143.58394,11.634811,Acquired
1,-145.65405,-171.252,Acquired
1,-89.90623,-10.631744,Acquired
1,-144.82018,168.40204,Acquired
1,74.21768,-13.329361,Acquired
1,-64.849525,154.6341,Acquired
1,-133.81517,10.602844,Acquired
1,-151.28778,8.792206,Acquired
1,61.48088,22.433914,Acquired
1,65.929794,-41.08513,Acquired
1,58.448395,89.947754,Acquired
1,-72.39092,-26.80745,Acquired
1,-94.19321,-178.69922,Acquired
1,51.926697,149.63733,Acquired
1,62.903076,-179.29343,Acquired
1,-118.027115,52.791534,Acquired
1,-129.74417,9.401123,Acquired
1,-76.67279,58.501053,Acquired
1,-49.842987,117.32477,Acquired
1,-167.18443,167.87909,Acquired
1,-141.3314,33.566345,Acquired
1,-57.974777,-28.422165,Acquired
1,-128.4502,36.65895,Acquired
1,-56.033676,162.13464,Acquired
1,-144.39108,-178.16037,Acquired
1,-159.90686,-179.51772,Acquired
1,-128.27797,131.92651,Acquired
1,71.481,-173.7608,Acquired
1,-161.29085,179.80078,Acquired
1,-59.415726,106.99838,Acquired
1,-178.20122,164.11084,Acquired
1,-154.31317,17.107483,Acquired
1,55.506668,-56.568947,Acquired
1,51.951553,-157.79709,Acquired
1,56.21483,-56.210648,Acquired
1,-67.708534,-22.430573,Acquired
1,-149.13617,-173.07506,Acquired
1,-94.33572,-41.917435,Acquired
1,70.19263,87.179016,Acquired
1,-77.06523,-17.35048,Acquired
1,63.5661,37.11087,Acquired
1,-148.21175,172.41748,Acquired
1,-174.85359,162.81924,Acquired
1,-155.17569,48.80516,Acquired
1,-54.14789,121.19272,Acquired
1,-64.37572,-10.918289,Acquired
1,-62.36635,148.10065,Acquired
1,-83.73116,-22.316574,Acquired
1,-80.77454,68.32225,Acquired
1,-70.73998,-12.862366,Acquired
1,57.309067,14.337418,Acquired
1,-120.58857,-148.57858,Acquired
