Iter,Rank,Phi,Psi,Count,Description
0,1,-6.99,177.61,198,Unknown
0,2,-167.75,175.85,141,Beta/C5
0,3,178.13,-3.81,28,Unknown
0,4,110.81,-147.52,16,Unknown
5,1,-4.99,170.99,135,Unknown
5,2,179.96,178.33,73,Beta/C5
5,3,-87.35,96.73,35,Beta/C5
5,4,-173.92,-2.22,33,Unknown
5,5,-122.17,78.24,21,Unknown
10,1,-13.73,168.24,171,Unknown
10,2,-179.96,174.31,112,Beta/C5
10,3,-102.73,98.78,29,Beta/C5
10,4,93.5,-124.53,19,Unknown
10,5,164.82,-11.24,16,Unknown
15,1,-0.36,175.48,233,Unknown
15,2,-172.73,-172.57,164,Beta/C5
15,3,21.74,-81.63,25,Unknown
15,4,177.83,-4.64,17,Unknown
20,1,-1.97,175.78,175,Unknown
20,2,-164.97,162.0,67,Beta/C5
20,3,-154.78,67.6,23,Unknown
20,4,-66.92,79.68,23,C7eq
20,5,141.09,-155.49,21,Unknown
