Phi,Psi,Iter
167.63577,0.8905945,0
84.8902,-134.57265,0
137.67535,-37.63344,0
91.37314,-6.9280396,0
-1.5557556,25.475586,0
-23.62085,21.280441,0
32.055786,-0.71302795,0
60.828583,161.47589,0
-159.43228,75.02536,0
166.219,-68.746056,0
104.44458,-36.512558,0
125.82861,149.54669,0
-161.47452,-14.30069,0
4.042618,-41.450912,0
-77.94481,7.1992493,0
8.644241,-103.01978,0
-21.479233,40.010376,0
-63.863113,18.910324,0
-175.96404,4.72406,0
28.68341,-62.141197,0
104.47891,-19.359314,0
-128.65678,11.095123,0
178.15912,4.3619843,0
40.027466,-80.198135,0
-38.127365,57.17729,0
-172.26712,-88.41822,0
-23.011627,-20.943466,0
-159.52359,17.645096,0
-87.519356,-18.482254,0
-35.191162,-68.6639,0
95.12796,-12.792465,0
-60.43035,16.793823,0
30.256561,44.371307,0
-6.4578705,-116.03084,0
-43.188263,-1.7948456,0
-59.819008,89.975464,0
-145.05156,-18.98262,0
124.5061,170.83478,0
162.59369,0.3164978,0
80.901306,58.87323,0
-57.137054,127.42984,0
25.81279,121.22626,0
-105.26638,-41.39273,0
-138.19524,38.379807,0
-8.425919,-6.9464417,0
176.21796,7.9206543,0
-0.011749268,-5.86261,0
-158.44218,35.422974,0
-94.044334,173.75555,0
-171.13869,111.10086,0
152.9826,-24.635284,0
-58.83423,-24.864944,0
102.19476,-81.46435,0
18.437912,54.334488,0
-89.74723,-27.34552,0
-74.829445,13.549011,0
62.790863,-10.270447,0
-45.388794,82.97824,0
15.215012,-2.2401123,0
-137.33109,50.60135,0
90.385895,101.74698,0
-51.13359,151.26355,0
-113.18217,45.354034,0
13.957108,-34.39247,0
-122.76541,-19.112686,0
163.89633,-16.806671,0
-44.092957,-70.814445,0
-63.94822,-26.674774,0
87.23718,-124.41984,0
-78.42853,116.67767,0
80.01004,36.553574,0
74.55032,-25.83516,0
-21.47998,16.971695,0
39.406326,-167.6051,0
-150.12585,21.458557,0
65.07735,-93.45292,0
-144.67406,35.200134,0
36.41519,-17.369675,0
91.94455,-32.058258,0
29.368546,134.73343,0
2.8124237,58.14569,0
13.710709,6.6423645,0
-63.783173,46.462982,0
-131.25526,-23.415894,0
-25.946152,-96.12805,0
172.08978,72.64253,0
178.36627,-122.916466,0
44.207916,-11.097885,0
-4.153702,90.75763,0
-69.00288,-9.858963,0
48.421036,-91.47954,0
-100.640915,48.236725,0
26.23497,102.4241,0
6.7399597,-0.95402527,0
-53.302032,1.8722229,0
-133.6187,8.00882,0
-109.97831,5.1302185,0
-20.788223,13.139847,0
62.46292,55.960266,0
0.44319153,-125.94526,0
