Pre_Phi,Pre_Psi,Post_Phi,Post_Psi
-99.400536,-155.00246,-168.52629,-117.93899
-22.902542,72.147064,-124.22851,-124.59506
16.515259,106.37909,-33.57599,125.36023
-21.944092,74.39267,-147.07861,-125.64857
43.34291,78.31348,127.711334,5.4263763
-19.37732,62.217316,-53.953392,168.40561
2.5318604,-105.877,-63.103043,-38.04634
-8.602203,-174.4951,-169.47278,175.7843
-5.8012238,114.862305,-173.76016,-57.81835
-142.64615,6.655075,-75.22984,-9.740219
-1.6549377,-15.722397,167.30908,-31.313934
-154.86595,39.623734,-118.17623,-96.71545
-70.32507,-1.5415344,-70.32675,-1.5399628
-0.045440674,-164.44624,-148.05899,-127.96746
101.964325,9.017288,101.97153,9.022949
43.9769,-21.609818,-128.49403,-85.698494
67.25647,-119.783195,-122.38758,-115.41476
-25.202728,135.42993,-121.40517,7.169632
-56.134064,-152.06902,-56.115013,-152.07617
126.09033,79.79846,-132.7296,-54.006546
-165.17287,-145.68729,-165.19186,-145.66765
-84.445656,-149.89796,145.84021,166.98267
25.63324,88.32596,25.63324,88.326324
-60.071,90.06287,-60.070694,90.06271
-6.743515,-147.17014,-146.6505,-126.800735
173.6344,-175.80957,173.59424,-175.82675
113.86359,59.136597,113.8602,59.132797
8.964096,-71.05727,-104.70751,-160.74922
-14.90036,45.345276,-150.41524,-128.80157
-159.88881,17.240173,-159.88902,17.240433
129.61469,107.96719,129.56982,107.91998
-166.94388,-179.36993,-166.91077,-179.36734
-10.57045,73.87558,-80.53146,36.612473
-0.93478394,-179.72606,-106.78385,-118.14375
122.17749,121.34955,151.50504,172.36887
-1.771637,91.13995,-1.7715302,91.1416
126.99289,-11.508606,-23.170944,0.6025696
-97.72183,152.80313,-130.65068,-148.48566
170.04364,-154.57431,-101.21256,-150.41747
-33.56903,55.023285,-66.90463,-109.496315
125.72095,128.6914,125.72327,128.69275
154.77094,70.36551,40.437607,-52.714798
168.62842,68.35599,-123.97554,-65.62301
-65.03591,118.929016,-119.80627,169.27039
-79.013084,22.232513,-153.21132,-91.76943
-37.933655,50.644257,164.27777,-49.62462
18.974411,-70.139626,-158.00212,-65.81839
3.2375183,-150.64764,-158.50859,-113.98736
-158.17218,178.2926,-158.17256,178.29034
