Iter,Phi,Psi,Uncertainty
1,74.165405,34.89566,49.04477
1,-45.78386,159.54779,31.796793
1,-117.54426,-85.88239,0.0032606907
1,-22.149261,-164.23013,40.099743
1,-87.243515,132.3081,0.002857256
1,-178.13986,11.893127,0.0017885872
1,-32.19728,30.379028,0.0020541768
1,31.814178,-107.11285,0.002319499
1,-139.20764,14.605072,48.108974
1,-66.851105,68.73471,0.0011613094
1,-164.20747,-101.184006,31.909853
1,33.506805,78.759186,0.0018116481
1,5.471451,-105.92116,0.0013404138
1,109.27725,83.14737,0.0014955355
1,47.069305,-6.0409546,0.001540784
1,-115.69118,39.43242,58.293682
1,-1.8698425,118.04184,0.0025208006
1,-65.21851,129.6731,0.0014507689
1,90.355896,-75.67249,0.001790071
1,26.141037,74.47153,48.294712
1,-144.25984,24.285492,48.27388
1,-177.8045,0.70614624,0.0016849062
1,104.05179,125.16055,0.0025671613
1,171.86136,49.550323,0.0011562539
1,99.980194,-0.28260803,31.809456
1,128.55872,48.36261,0.0011256847
1,76.715454,-71.40635,0.0013802841
1,79.029144,-116.69412,31.733442
1,-158.05623,-2.4369202,67.32831
1,-32.38513,-5.9687805,31.876417
1,-45.002274,28.505188,0.001407245
1,171.64203,-120.44974,0.0013913551
1,171.33582,-157.02945,68.4715
1,-36.206207,153.4436,31.82899
1,-37.191055,9.582581,0.0020236843
1,-34.283478,-96.07073,0.001958258
1,127.835846,-39.287735,0.0033793247
1,-88.941124,2.3717804,56.51422
1,28.42868,-147.49692,0.0014459618
1,4.8052673,-123.37543,0.0012586965
1,-13.556595,65.37497,0.0017519504
1,156.768,-40.10727,0.0014380281
1,-140.91226,-121.14622,0.0010757791
1,-35.922485,96.95593,56.503048
1,-33.328827,151.37204,53.949924
1,36.012222,-169.54727,0.0024951636
1,-43.095673,74.065704,0.002303069
1,-8.450165,-6.493744,67.446556
1,-62.693954,-83.9755,78.87618
1,102.92102,-93.048164,45.883953
1,11.856369,-50.66255,0.0014409975
1,-50.90042,34.90686,0.0033184686
1,-6.4883575,93.377686,0.0014368648
1,26.731918,-22.168839,0.0018863283
1,9.835007,-38.869705,0.0014836196
1,-148.8845,75.6637,0.0014838055
1,131.6113,-158.14136,0.0020145283
1,-40.11641,129.68005,62.2627
1,154.21973,-45.838074,0.001619016
1,-1.5682678,6.360962,0.0011668137
1,-21.650772,-158.50258,0.0014658677
1,-177.66382,-24.576569,31.877209
1,-87.80808,140.0445,31.87131
1,37.578903,-139.19041,0.0018439328
1,-44.524933,-14.8940735,40.134758
1,-18.775421,80.22131,0.001693373
1,-117.47747,60.96553,31.830978
1,-171.8939,121.01422,0.0018541334
1,-3.4410248,131.29144,31.851257
1,-42.27704,31.657288,78.67445
1,-146.94896,67.13083,0.0014718757
1,12.124207,-179.18834,48.260212
1,-163.45227,-141.5594,0.0022635022
1,17.357086,23.47284,0.0013439177
1,-111.04313,145.86993,0.0012062661
1,-23.933472,176.04156,67.323715
1,84.96173,-127.213036,0.0011107024
1,138.37079,163.39807,0.0013785566
1,-15.244019,176.09686,0.0019271561
1,-59.1502,118.48605,0.0021455486
1,-104.955215,72.57605,0.001534666
1,179.8653,3.465683,0.0018319197
1,-0.64616394,131.37476,0.0014051236
1,65.20473,-130.60535,0.0015548696
1,20.159653,-174.42839,0.0021085506
1,-22.03299,130.56311,0.0011352691
1,-28.021408,48.007385,0.0021922258
1,115.3739,29.370148,0.0020310767
1,-101.04988,-57.58908,0.0016635888
1,-173.27132,13.569321,48.36621
1,-56.98281,69.81607,0.0020020402
1,-60.038673,10.166321,31.858873
1,-166.78041,-103.54248,0.0015828122
1,-1.6352539,-142.3153,0.002315076
1,24.373047,-76.60292,0.0017293182
1,-2.6629639,-48.874237,0.00143321
1,54.577286,-151.34055,72.74088
1,11.632217,-143.23111,31.843811
1,39.742752,-117.75845,0.0018709158
1,-172.33488,-114.39645,0.0015449147
1,24.630264,-47.908356,0.0019897865
1,171.4609,-35.961075,0.001922784
1,66.442764,-165.25429,0.0021101788
1,-5.928238,110.26019,0.0014439909
1,-12.369659,127.3909,0.0022920433
1,27.106445,-101.67799,0.0021177046
1,-84.83419,129.86356,0.0020751324
1,70.615875,-158.72252,0.0030721708
1,112.30301,-55.006912,56.18486
1,-59.11757,-70.08408,0.0013891493
1,-173.95804,-3.1818542,0.0014938643
1,-146.33661,68.07922,0.0016685973
1,168.92294,90.08423,0.0018080751
1,46.726715,-98.46921,0.0019382659
1,-162.72232,10.501801,0.0016779948
1,-45.723206,31.021774,0.0019335827
1,-90.36789,27.926102,31.889395
1,-137.61766,92.78021,0.0015851168
1,41.959488,-146.10634,57.248413
1,3.6269836,97.77472,0.0018447567
1,-33.782684,-20.11789,31.855318
1,-98.08713,137.97821,0.0016835821
1,-14.107849,-177.9277,0.0016464661
1,-14.2126465,-162.76378,0.0021807034
1,178.44849,-14.687958,0.0025615504
1,-58.423645,51.180786,0.0022399344
1,37.772324,-39.695175,0.0011824056
1,10.3750305,62.56697,0.0017075329
1,-29.428925,168.92865,0.0021988924
1,145.7081,-20.301971,0.0018925389
1,-175.66742,141.29535,0.001708061
1,-7.4610443,-15.298157,0.0015524655
1,150.48938,34.707916,0.0026761813
1,128.19519,-33.092194,0.0023207453
1,50.105103,-34.07132,0.0012651045
1,-17.898972,-44.469208,0.002175791
1,36.933838,-40.3602,0.0017065165
1,-176.37894,2.5481262,54.137825
1,-1.1231079,30.405762,40.13092
1,-4.7484894,91.65158,31.90506
1,58.652405,-72.64265,0.0013284126
1,178.0159,95.424255,48.975372
1,14.477051,-136.63559,0.0019843166
1,48.999542,157.71207,0.001670236
1,-97.60416,19.134964,82.413216
1,-153.51706,15.608765,0.0017692017
1,135.90076,177.21054,0.0027434616
1,110.93579,-108.006805,31.838097
1,10.214859,1.0395203,31.814138
1,-130.90886,144.88007,0.0015487502
1,-140.76874,-178.12074,0.0031331575
1,-138.10788,50.54532,0.0013483126
1,-95.2662,148.60712,0.0013661099
1,-122.35323,5.061325,45.834854
1,-150.47188,108.36688,31.973799
1,-157.47041,4.1395416,0.0018151306
1,59.642822,76.04953,31.780352
1,34.992767,-140.98132,0.0015659024
1,153.11792,-93.173065,31.74103
1,-85.51179,-114.08663,0.0013031197
1,-93.054405,143.89368,39.985264
1,-111.84548,142.9527,0.0020267451
1,153.62012,171.40332,0.0013812099
1,-31.19992,92.793945,0.0016089599
1,-21.47696,75.084625,31.901682
1,158.08176,71.10138,0.0021653813
1,-93.41447,-96.828896,83.057816
1,-22.18985,89.484985,0.0012418396
1,95.75433,114.3598,0.0014800939
1,8.485428,-2.5495758,31.935173
1,-95.21007,95.178375,0.0017121966
1,-69.09168,160.66846,0.0019397924
1,18.407501,148.87457,0.0012512701
1,-64.48401,-3.6549072,31.878798
1,-50.313446,99.49725,0.001407299
1,-175.81262,112.743286,0.0015781024
1,129.4925,-38.604584,0.001280062
1,-123.69437,-173.11115,0.002226753
1,-167.57033,-144.8299,0.0015701832
1,-116.16818,162.67645,0.00096389797
1,-135.35106,134.37552,0.0018518196
1,-117.64715,68.990906,0.00157517
1,61.35379,-4.498413,40.081196
1,11.280701,31.830063,0.0013239105
1,-95.058685,45.580444,71.95871
1,27.311066,-87.52703,0.0022203568
1,163.77777,-43.56314,0.0012228369
