2026-01-07 21:41:18 | INFO | sample_refined | Device: cpu
2026-01-07 21:41:18 | INFO | sample_refined | Loading diffusion checkpoint from runs/day10_al_16_hpc/members/m000/checkpoints/iter_20.pt
2026-01-07 21:41:18 | INFO | sample_refined | Loading pairwise checkpoint from runs/energy_pairwise/best_model.pt
2026-01-07 21:41:19 | INFO | sample_refined | Generating 2 samples...
2026-01-07 21:41:29 | INFO | sample_refined | Batch 1: Refining...
2026-01-07 21:41:29 | INFO | sample_refined | Step 0: E_norm=6880.76 | Force_norm_pre=75782.05
2026-01-07 21:41:29 | INFO | sample_refined | Step 1: E_norm=6880.64 | Force_norm_pre=75780.41
2026-01-07 21:41:29 | INFO | sample_refined | Step 2: E_norm=6880.52 | Force_norm_pre=75778.76
2026-01-07 21:41:29 | INFO | sample_refined | Step 3: E_norm=6880.41 | Force_norm_pre=75777.12
2026-01-07 21:41:29 | INFO | sample_refined | Step 4: E_norm=6880.29 | Force_norm_pre=75775.48
2026-01-07 21:41:33 | INFO | sample_refined | Step 1000: E_norm=6764.22 | Force_norm_pre=74160.26
2026-01-07 21:41:38 | INFO | sample_refined | Step 2000: E_norm=6650.15 | Force_norm_pre=72581.78
2026-01-07 21:41:42 | INFO | sample_refined | Step 3000: E_norm=6538.45 | Force_norm_pre=71038.10
2026-01-07 21:41:47 | INFO | sample_refined | Step 4000: E_norm=6429.08 | Force_norm_pre=69553.20
2026-01-07 21:41:51 | INFO | sample_refined | Step 5000: E_norm=6321.91 | Force_norm_pre=68166.25
2026-01-07 21:41:55 | INFO | sample_refined | Step 6000: E_norm=6216.85 | Force_norm_pre=66883.39
2026-01-07 21:41:59 | INFO | sample_refined | Step 7000: E_norm=6113.70 | Force_norm_pre=65684.25
2026-01-07 21:42:04 | INFO | sample_refined | Step 8000: E_norm=6012.33 | Force_norm_pre=64549.42
2026-01-07 21:42:09 | INFO | sample_refined | Step 9000: E_norm=5912.62 | Force_norm_pre=63468.16
2026-01-07 21:42:13 | INFO | sample_refined | Step 10000: E_norm=5814.54 | Force_norm_pre=62435.39
2026-01-07 21:42:18 | INFO | sample_refined | Step 11000: E_norm=5718.04 | Force_norm_pre=61447.16
2026-01-07 21:42:23 | INFO | sample_refined | Step 12000: E_norm=5623.05 | Force_norm_pre=60499.30
2026-01-07 21:42:27 | INFO | sample_refined | Step 13000: E_norm=5529.52 | Force_norm_pre=59587.83
2026-01-07 21:42:31 | INFO | sample_refined | Step 14000: E_norm=5437.41 | Force_norm_pre=58710.09
2026-01-07 21:42:35 | INFO | sample_refined | Step 15000: E_norm=5346.67 | Force_norm_pre=57863.43
2026-01-07 21:42:39 | INFO | sample_refined | Step 16000: E_norm=5257.30 | Force_norm_pre=57044.94
2026-01-07 21:42:43 | INFO | sample_refined | Step 17000: E_norm=5169.18 | Force_norm_pre=56249.06
2026-01-07 21:42:47 | INFO | sample_refined | Step 18000: E_norm=5082.23 | Force_norm_pre=55472.70
2026-01-07 21:42:50 | INFO | sample_refined | Step 19000: E_norm=4996.43 | Force_norm_pre=54713.89
2026-01-07 21:42:54 | INFO | sample_refined | Step 20000: E_norm=4911.83 | Force_norm_pre=53970.81
2026-01-07 21:42:57 | INFO | sample_refined | Step 21000: E_norm=4828.40 | Force_norm_pre=53241.59
2026-01-07 21:43:01 | INFO | sample_refined | Step 22000: E_norm=4746.07 | Force_norm_pre=52524.54
2026-01-07 21:43:05 | INFO | sample_refined | Step 23000: E_norm=4664.85 | Force_norm_pre=51817.55
2026-01-07 21:43:09 | INFO | sample_refined | Step 24000: E_norm=4584.68 | Force_norm_pre=51116.66
2026-01-07 21:43:13 | INFO | sample_refined | Step 25000: E_norm=4505.58 | Force_norm_pre=50418.76
2026-01-07 21:43:17 | INFO | sample_refined | Step 26000: E_norm=4427.56 | Force_norm_pre=49722.22
2026-01-07 21:43:20 | INFO | sample_refined | Step 27000: E_norm=4350.61 | Force_norm_pre=49026.38
2026-01-07 21:43:23 | INFO | sample_refined | Step 28000: E_norm=4274.76 | Force_norm_pre=48331.08
2026-01-07 21:43:27 | INFO | sample_refined | Step 29000: E_norm=4200.00 | Force_norm_pre=47635.97
2026-01-07 21:43:30 | INFO | sample_refined | Step 30000: E_norm=4126.33 | Force_norm_pre=46940.77
2026-01-07 21:43:33 | INFO | sample_refined | Step 31000: E_norm=4053.73 | Force_norm_pre=46245.73
2026-01-07 21:43:37 | INFO | sample_refined | Step 32000: E_norm=3982.24 | Force_norm_pre=45551.60
2026-01-07 21:43:41 | INFO | sample_refined | Step 33000: E_norm=3911.87 | Force_norm_pre=44859.21
2026-01-07 21:43:45 | INFO | sample_refined | Step 34000: E_norm=3842.56 | Force_norm_pre=44169.30
2026-01-07 21:43:49 | INFO | sample_refined | Step 35000: E_norm=3774.32 | Force_norm_pre=43483.20
2026-01-07 21:43:52 | INFO | sample_refined | Step 36000: E_norm=3707.10 | Force_norm_pre=42802.14
2026-01-07 21:43:56 | INFO | sample_refined | Step 37000: E_norm=3640.94 | Force_norm_pre=42127.99
2026-01-07 21:44:00 | INFO | sample_refined | Step 38000: E_norm=3575.87 | Force_norm_pre=41462.75
2026-01-07 21:44:03 | INFO | sample_refined | Step 39000: E_norm=3511.83 | Force_norm_pre=40807.36
2026-01-07 21:44:06 | INFO | sample_refined | Step 39999: E_norm=3448.85 | Force_norm_pre=40163.18
2026-01-07 21:44:06 | INFO | sample_refined | Saved refined results to runs/loop_b_refinement_16_local/refined_results.pt
