2026-01-07 23:27:42 | INFO | sample_refined | Device: cpu
2026-01-07 23:27:42 | INFO | sample_refined | Loading diffusion checkpoint from runs/day10_al_16_hpc/members/m000/checkpoints/iter_20.pt
2026-01-07 23:27:42 | INFO | sample_refined | Loading pairwise checkpoint from runs/energy_pairwise/best_model.pt
2026-01-07 23:27:42 | INFO | sample_refined | Generating 2 samples...
2026-01-07 23:27:53 | INFO | sample_refined | Batch 1: Refining...
2026-01-07 23:27:53 | INFO | sample_refined | Step 0: E_norm=6880.76 | Force_norm_pre=75782.05
2026-01-07 23:27:53 | INFO | sample_refined | Step 1: E_norm=6880.64 | Force_norm_pre=75780.43
2026-01-07 23:27:53 | INFO | sample_refined | Step 2: E_norm=6880.52 | Force_norm_pre=75778.78
2026-01-07 23:27:53 | INFO | sample_refined | Step 3: E_norm=6880.41 | Force_norm_pre=75777.18
2026-01-07 23:27:53 | INFO | sample_refined | Step 4: E_norm=6880.29 | Force_norm_pre=75775.55
2026-01-07 23:27:59 | INFO | sample_refined | Step 1000: E_norm=6764.55 | Force_norm_pre=74172.79
2026-01-07 23:28:05 | INFO | sample_refined | Step 2000: E_norm=6650.72 | Force_norm_pre=72604.49
2026-01-07 23:28:10 | INFO | sample_refined | Step 3000: E_norm=6539.20 | Force_norm_pre=71068.59
2026-01-07 23:28:16 | INFO | sample_refined | Step 4000: E_norm=6429.96 | Force_norm_pre=69587.88
2026-01-07 23:28:21 | INFO | sample_refined | Step 5000: E_norm=6322.92 | Force_norm_pre=68201.03
2026-01-07 23:28:26 | INFO | sample_refined | Step 6000: E_norm=6217.93 | Force_norm_pre=66916.24
2026-01-07 23:28:31 | INFO | sample_refined | Step 7000: E_norm=6114.81 | Force_norm_pre=65714.59
2026-01-07 23:28:37 | INFO | sample_refined | Step 8000: E_norm=6013.48 | Force_norm_pre=64577.17
2026-01-07 23:28:42 | INFO | sample_refined | Step 9000: E_norm=5913.80 | Force_norm_pre=63493.32
2026-01-07 23:28:47 | INFO | sample_refined | Step 10000: E_norm=5815.74 | Force_norm_pre=62457.44
2026-01-07 23:28:51 | INFO | sample_refined | Step 11000: E_norm=5719.25 | Force_norm_pre=61466.35
2026-01-07 23:28:56 | INFO | sample_refined | Step 12000: E_norm=5624.28 | Force_norm_pre=60516.00
2026-01-07 23:29:01 | INFO | sample_refined | Step 13000: E_norm=5530.78 | Force_norm_pre=59602.12
2026-01-07 23:29:05 | INFO | sample_refined | Step 14000: E_norm=5438.71 | Force_norm_pre=58722.30
2026-01-07 23:29:09 | INFO | sample_refined | Step 15000: E_norm=5348.01 | Force_norm_pre=57874.10
2026-01-07 23:29:13 | INFO | sample_refined | Step 16000: E_norm=5258.70 | Force_norm_pre=57054.64
2026-01-07 23:29:18 | INFO | sample_refined | Step 17000: E_norm=5170.64 | Force_norm_pre=56258.31
2026-01-07 23:29:22 | INFO | sample_refined | Step 18000: E_norm=5083.76 | Force_norm_pre=55482.02
2026-01-07 23:29:27 | INFO | sample_refined | Step 19000: E_norm=4998.03 | Force_norm_pre=54723.78
2026-01-07 23:29:32 | INFO | sample_refined | Step 20000: E_norm=4913.52 | Force_norm_pre=53981.92
2026-01-07 23:29:36 | INFO | sample_refined | Step 21000: E_norm=4830.16 | Force_norm_pre=53254.23
2026-01-07 23:29:41 | INFO | sample_refined | Step 22000: E_norm=4747.93 | Force_norm_pre=52539.07
2026-01-07 23:29:46 | INFO | sample_refined | Step 23000: E_norm=4666.82 | Force_norm_pre=51834.50
2026-01-07 23:29:50 | INFO | sample_refined | Step 24000: E_norm=4586.79 | Force_norm_pre=51136.61
2026-01-07 23:29:54 | INFO | sample_refined | Step 25000: E_norm=4507.83 | Force_norm_pre=50442.05
2026-01-07 23:29:59 | INFO | sample_refined | Step 26000: E_norm=4429.96 | Force_norm_pre=49749.10
2026-01-07 23:30:04 | INFO | sample_refined | Step 27000: E_norm=4353.15 | Force_norm_pre=49056.69
2026-01-07 23:30:08 | INFO | sample_refined | Step 28000: E_norm=4277.43 | Force_norm_pre=48364.74
2026-01-07 23:30:12 | INFO | sample_refined | Step 29000: E_norm=4202.81 | Force_norm_pre=47673.01
2026-01-07 23:30:16 | INFO | sample_refined | Step 30000: E_norm=4129.28 | Force_norm_pre=46981.14
2026-01-07 23:30:20 | INFO | sample_refined | Step 31000: E_norm=4056.84 | Force_norm_pre=46289.20
2026-01-07 23:30:25 | INFO | sample_refined | Step 32000: E_norm=3985.50 | Force_norm_pre=45597.84
2026-01-07 23:30:29 | INFO | sample_refined | Step 33000: E_norm=3915.26 | Force_norm_pre=44907.85
2026-01-07 23:30:34 | INFO | sample_refined | Step 34000: E_norm=3846.12 | Force_norm_pre=44220.39
2026-01-07 23:30:38 | INFO | sample_refined | Step 35000: E_norm=3778.08 | Force_norm_pre=43537.02
2026-01-07 23:30:43 | INFO | sample_refined | Step 36000: E_norm=3711.10 | Force_norm_pre=42858.74
2026-01-07 23:30:47 | INFO | sample_refined | Step 37000: E_norm=3645.23 | Force_norm_pre=42187.82
2026-01-07 23:30:51 | INFO | sample_refined | Step 38000: E_norm=3580.44 | Force_norm_pre=41525.62
2026-01-07 23:30:55 | INFO | sample_refined | Step 39000: E_norm=3516.69 | Force_norm_pre=40873.50
2026-01-07 23:31:00 | INFO | sample_refined | Step 40000: E_norm=3453.97 | Force_norm_pre=40232.39
2026-01-07 23:31:04 | INFO | sample_refined | Step 41000: E_norm=3392.25 | Force_norm_pre=39602.98
2026-01-07 23:31:09 | INFO | sample_refined | Step 42000: E_norm=3331.52 | Force_norm_pre=38985.78
2026-01-07 23:31:13 | INFO | sample_refined | Step 43000: E_norm=3271.79 | Force_norm_pre=38381.42
2026-01-07 23:31:18 | INFO | sample_refined | Step 44000: E_norm=3213.06 | Force_norm_pre=37789.72
2026-01-07 23:31:24 | INFO | sample_refined | Step 45000: E_norm=3155.29 | Force_norm_pre=37209.96
2026-01-07 23:31:31 | INFO | sample_refined | Step 46000: E_norm=3098.45 | Force_norm_pre=36641.29
2026-01-07 23:31:37 | INFO | sample_refined | Step 47000: E_norm=3042.55 | Force_norm_pre=36082.80
2026-01-07 23:31:43 | INFO | sample_refined | Step 48000: E_norm=2987.59 | Force_norm_pre=35533.66
2026-01-07 23:31:49 | INFO | sample_refined | Step 49000: E_norm=2933.55 | Force_norm_pre=34993.57
2026-01-07 23:31:56 | INFO | sample_refined | Step 50000: E_norm=2880.37 | Force_norm_pre=34460.87
2026-01-07 23:32:02 | INFO | sample_refined | Step 51000: E_norm=2828.05 | Force_norm_pre=33934.90
2026-01-07 23:32:07 | INFO | sample_refined | Step 52000: E_norm=2776.49 | Force_norm_pre=33414.68
2026-01-07 23:32:13 | INFO | sample_refined | Step 53000: E_norm=2725.77 | Force_norm_pre=32899.87
2026-01-07 23:32:18 | INFO | sample_refined | Step 54000: E_norm=2675.88 | Force_norm_pre=32389.83
2026-01-07 23:32:24 | INFO | sample_refined | Step 55000: E_norm=2626.81 | Force_norm_pre=31884.15
2026-01-07 23:32:29 | INFO | sample_refined | Step 56000: E_norm=2578.56 | Force_norm_pre=31382.49
2026-01-07 23:32:35 | INFO | sample_refined | Step 57000: E_norm=2531.14 | Force_norm_pre=30884.44
2026-01-07 23:32:40 | INFO | sample_refined | Step 58000: E_norm=2484.52 | Force_norm_pre=30390.56
2026-01-07 23:32:46 | INFO | sample_refined | Step 59000: E_norm=2438.71 | Force_norm_pre=29904.71
2026-01-07 23:32:51 | INFO | sample_refined | Step 60000: E_norm=2393.66 | Force_norm_pre=29429.31
2026-01-07 23:32:55 | INFO | sample_refined | Step 61000: E_norm=2349.37 | Force_norm_pre=28957.96
2026-01-07 23:33:00 | INFO | sample_refined | Step 62000: E_norm=2305.86 | Force_norm_pre=28488.94
2026-01-07 23:33:06 | INFO | sample_refined | Step 63000: E_norm=2263.09 | Force_norm_pre=28020.03
2026-01-07 23:33:13 | INFO | sample_refined | Step 64000: E_norm=2221.08 | Force_norm_pre=27551.27
2026-01-07 23:33:20 | INFO | sample_refined | Step 65000: E_norm=2179.85 | Force_norm_pre=27083.59
2026-01-07 23:33:27 | INFO | sample_refined | Step 66000: E_norm=2139.38 | Force_norm_pre=26617.71
2026-01-07 23:33:35 | INFO | sample_refined | Step 67000: E_norm=2099.67 | Force_norm_pre=26154.51
2026-01-07 23:33:44 | INFO | sample_refined | Step 68000: E_norm=2060.73 | Force_norm_pre=25694.74
2026-01-07 23:33:52 | INFO | sample_refined | Step 69000: E_norm=2022.50 | Force_norm_pre=25238.93
2026-01-07 23:34:01 | INFO | sample_refined | Step 70000: E_norm=1985.01 | Force_norm_pre=24788.51
2026-01-07 23:34:10 | INFO | sample_refined | Step 71000: E_norm=1948.22 | Force_norm_pre=24344.19
2026-01-07 23:34:18 | INFO | sample_refined | Step 72000: E_norm=1912.14 | Force_norm_pre=23907.23
2026-01-07 23:34:27 | INFO | sample_refined | Step 73000: E_norm=1876.78 | Force_norm_pre=23479.17
2026-01-07 23:34:34 | INFO | sample_refined | Step 74000: E_norm=1842.12 | Force_norm_pre=23061.64
2026-01-07 23:34:42 | INFO | sample_refined | Step 75000: E_norm=1808.12 | Force_norm_pre=22655.91
2026-01-07 23:34:48 | INFO | sample_refined | Step 76000: E_norm=1774.76 | Force_norm_pre=22264.06
2026-01-07 23:34:54 | INFO | sample_refined | Step 77000: E_norm=1742.03 | Force_norm_pre=21888.41
2026-01-07 23:34:59 | INFO | sample_refined | Step 78000: E_norm=1709.89 | Force_norm_pre=21530.36
2026-01-07 23:35:04 | INFO | sample_refined | Step 79000: E_norm=1678.32 | Force_norm_pre=21190.36
2026-01-07 23:35:08 | INFO | sample_refined | Step 80000: E_norm=1647.29 | Force_norm_pre=20868.21
2026-01-07 23:35:13 | INFO | sample_refined | Step 81000: E_norm=1616.80 | Force_norm_pre=20562.73
2026-01-07 23:35:18 | INFO | sample_refined | Step 82000: E_norm=1586.80 | Force_norm_pre=20272.42
2026-01-07 23:35:22 | INFO | sample_refined | Step 83000: E_norm=1557.28 | Force_norm_pre=19995.35
2026-01-07 23:35:27 | INFO | sample_refined | Step 84000: E_norm=1528.23 | Force_norm_pre=19729.80
2026-01-07 23:35:32 | INFO | sample_refined | Step 85000: E_norm=1499.62 | Force_norm_pre=19473.50
2026-01-07 23:35:37 | INFO | sample_refined | Step 86000: E_norm=1471.42 | Force_norm_pre=19224.52
2026-01-07 23:35:41 | INFO | sample_refined | Step 87000: E_norm=1443.63 | Force_norm_pre=18980.80
2026-01-07 23:35:46 | INFO | sample_refined | Step 88000: E_norm=1416.25 | Force_norm_pre=18740.95
2026-01-07 23:35:50 | INFO | sample_refined | Step 89000: E_norm=1389.28 | Force_norm_pre=18503.58
2026-01-07 23:35:55 | INFO | sample_refined | Step 90000: E_norm=1362.72 | Force_norm_pre=18267.54
2026-01-07 23:36:00 | INFO | sample_refined | Step 91000: E_norm=1336.56 | Force_norm_pre=18031.88
2026-01-07 23:36:05 | INFO | sample_refined | Step 92000: E_norm=1310.82 | Force_norm_pre=17796.17
2026-01-07 23:36:10 | INFO | sample_refined | Step 93000: E_norm=1285.50 | Force_norm_pre=17559.88
2026-01-07 23:36:16 | INFO | sample_refined | Step 94000: E_norm=1260.60 | Force_norm_pre=17322.76
2026-01-07 23:36:20 | INFO | sample_refined | Step 95000: E_norm=1236.09 | Force_norm_pre=17084.61
2026-01-07 23:36:24 | INFO | sample_refined | Step 96000: E_norm=1211.98 | Force_norm_pre=16845.46
2026-01-07 23:36:28 | INFO | sample_refined | Step 97000: E_norm=1188.31 | Force_norm_pre=16605.66
2026-01-07 23:36:32 | INFO | sample_refined | Step 98000: E_norm=1165.05 | Force_norm_pre=16366.09
2026-01-07 23:36:36 | INFO | sample_refined | Step 99000: E_norm=1142.19 | Force_norm_pre=16128.16
2026-01-07 23:36:42 | INFO | sample_refined | Step 99999: E_norm=1119.75 | Force_norm_pre=15895.30
2026-01-07 23:36:42 | INFO | sample_refined | Saved refined results to runs/loop_b_refinement_16_local/refined_results.pt
